x,y,abs_error_t71
8.652727,38.03514,0.08140826
8.641633,38.268723,0.08530873
8.443585,38.08538,0.120429575
2.7449021,38.28141,0.28622854
2.6531377,38.1089,0.29543465
2.5613732,37.93639,0.30243415
2.9282987,38.104725,0.28468257
2.8365343,37.932213,0.2947963
3.1116955,37.92804,0.29363996
2.829591,38.54756,0.27060914
3.0976768,38.637028,0.24012882
2.767633,38.809284,0.2673452
3.1963844,38.19419,0.28004414
3.2810733,38.460342,0.25625956
3.0129879,38.370876,0.26547182
3.6309772,38.81343,0.2232933
3.8961918,38.900364,0.22394216
3.58838,39.144276,0.20101392
6.091953,38.886612,0.1789757
5.926299,39.201023,0.19816488
5.735919,38.807377,0.19665658
4.567566,38.900913,0.24659073
4.973726,38.81453,0.24267763
4.6861305,39.235847,0.24526441
2.8099315,37.40873,0.28172487
2.9105196,37.581833,0.2854513
3.0111074,37.754936,0.28879565
2.6353583,37.586006,0.28713173
2.7359464,37.75911,0.28975195
2.4607852,37.763287,0.29718423
3.009824,37.357628,0.2820403
3.2097166,37.306522,0.28734994
3.409609,37.25542,0.29475254
3.1104121,37.53073,0.2895509
3.3103044,37.479626,0.29664493
3.211,37.703835,0.29562092
2.2363627,37.672127,0.29535043
1.959266,37.681355,0.302644
2.1865134,37.403687,0.28482968
2.585509,37.31757,0.28161556
2.4109359,37.494846,0.2876863
2.3610866,37.226406,0.28074837
7.567591,37.990646,0.15569979
7.57905,37.74677,0.13635224
7.5905094,37.50289,0.12125361
7.793695,37.95768,0.16747552
7.8051543,37.713802,0.14433908
8.019799,37.924713,0.16186076
6.9578114,38.47685,0.11037141
6.729429,38.544178,0.11438006
6.5010467,38.61151,0.13203514
6.7824893,38.189842,0.10823822
6.5541067,38.257175,0.12353587
6.6071672,37.90284,0.120266974
6.145013,38.532276,0.16598701
5.788979,38.45304,0.19181162
6.1980734,38.17794,0.1642952
7.2398105,38.123962,0.12460232
6.9234886,38.0134,0.10460585
7.2512693,37.880085,0.1168434
6.934948,37.769524,0.103883624
7.2627287,37.636208,0.11040461
7.0988107,38.300407,0.11317128
8.735597,37.785393,0.073054016
8.526455,37.835636,0.100046396
8.317313,37.88588,0.1297965
8.6093235,37.585888,0.09325397
8.400182,37.63613,0.11494845
8.483051,37.386383,0.10962081
8.185537,37.42522,0.12267566
8.102668,37.674965,0.13625163
7.8880234,37.464054,0.12520194
9.016615,37.8087,0.03370619
9.171361,37.632504,0.023890197
9.213886,37.90933,0.0052618384
8.890343,37.609196,0.061288714
8.76407,37.40969,0.08913612
9.045089,37.433,0.05465567
7.954517,36.817905,0.12043083
8.130695,37.007397,0.11957568
8.306873,37.19689,0.12065941
7.833181,37.046234,0.10854763
8.009359,37.235725,0.115133345
7.711845,37.274563,0.11285448
4.186655,38.584507,0.2800725
4.2119036,38.181717,0.33952212
4.237152,37.778927,0.34135693
4.5928144,38.498123,0.28023493
4.6180634,38.095333,0.30683273
4.9989743,38.41174,0.25256222
3.9214404,38.497574,0.28366733
3.6562257,38.410637,0.28188825
3.946689,38.09478,0.34987283
3.6854568,37.429924,0.3153773
3.9613044,37.604424,0.34100568
3.5861523,37.65413,0.3223843
3.862,37.82863,0.3497393
3.4868476,37.878334,0.32395345
3.5715368,38.144485,0.31213337
5.493349,37.52784,0.17922276
5.455528,37.92794,0.21129984
5.4177065,38.32804,0.21770304
5.074617,37.611534,0.21563768
5.0367956,38.011635,0.2522747
4.6558847,37.69523,0.2844209
5.864622,37.65284,0.17368037
6.2358947,37.77784,0.15390158
5.826801,38.05294,0.19549072
2.8643565,37.152718,0.27902722
2.639934,37.061558,0.2802148
2.4155116,36.970398,0.2813365
2.9187815,36.89671,0.27918494
2.694359,36.80555,0.28200912
2.9732065,36.6407,0.27701122
3.2641416,37.050514,0.28627068
3.064249,37.101616,0.28084993
3.118674,36.845608,0.2812938
3.5695508,37.070248,0.29479593
3.4240832,36.86534,0.2909094
3.2786157,36.660435,0.28509706
3.7294927,36.885075,0.29226738
3.5840251,36.680164,0.29229933
3.8894343,36.699898,0.2924546
3.8453984,37.244747,0.3065986
4.00534,37.059574,0.28833157
4.1212463,37.41925,0.31434703
2.1317706,36.72754,0.29058444
1.8107922,36.662827,0.30023026
2.126877,36.31983,0.30167222
2.6894655,36.397842,0.28306818
2.410618,36.56269,0.29025584
2.4057245,36.154984,0.29216272
7.4313593,37.235474,0.107088685
7.1035786,37.36879,0.10687697
6.775798,37.50211,0.110015035
7.272209,36.96806,0.110156715
6.9444284,37.101376,0.11486673
7.113059,36.700645,0.123505
7.674031,36.77882,0.11505622
7.552695,37.007145,0.10739803
7.393545,36.73973,0.116714954
6.1432843,36.79898,0.13740885
6.4665422,36.7662,0.13378519
6.7898006,36.73342,0.13022548
6.2979116,37.16693,0.12843549
6.62117,37.134155,0.11648756
6.4525394,37.534885,0.12765145
5.7099943,37.284885,0.15205806
