concentration,mu_h(c)
0.0126,-0.4669876
0.0126,-0.45647907
0.0126,-0.49781442
0.034827573,-0.33045268
0.025016905,-0.310225
0.016053045,-0.29004025
0.029046453,-0.34733462
0.020303601,-0.32641196
0.023528749,-0.3637278
0.035506572,-0.27742457
0.024236097,-0.28421497
0.035516495,-0.30385685
0.0126,-0.43503666
0.012676632,-0.3955307
0.012673983,-0.35727596
0.0126,-0.42586637
0.012610808,-0.38616824
0.0126,-0.41510868
0.017822649,-0.3878405
0.014538837,-0.37293625
0.014152682,-0.4114046
0.013543335,-0.33558893
0.017120435,-0.34998846
0.013402902,-0.3132193
0.0126,-0.4584756
0.0126,-0.42864943
0.0126,-0.41099286
0.0126,-0.40488958
0.012742095,-0.37810278
0.012847986,-0.3635006
0.027104742,0.14073682
0.053720927,0.16358781
0.063751451,0.18347144
0.05187242,0.16158748
0.065825655,0.18407798
0.061125757,0.17261386
0.045928955,0.19908476
0.042808765,0.20370197
0.058260737,0.19329429
0.053008366,0.16061616
0.069475528,0.13510942
0.054779254,0.12593389
0.039735414,0.12787104
0.045679265,0.12407732
0.021380997,0.124129295
0.053927703,0.15776491
0.03252685,0.13818264
0.051694801,0.13325596
0.081259318,0.28599906
0.050700493,0.24010682
